INSTNM,ACCREDAGENCY,ADM_RATE,SAT_AVG,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,PCTPELL,C150_4,C150_L4,CCSIZSET,HBCU,PBI,ANNHI,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,PCTFLOAN,DEBT_MDN,D_PCTPELL_PCTFLOAN,GRADS,STUFACR,SATVR50,SATMT50,ACTCM50,ACTEN50,ACTMT50
Laboure College of Healthcare,New England Commission on Higher Education,0.3883,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,962.0,0.4017,1.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7206,15998,1038.0,,7.0,,,,,
Clark University,New England Commission on Higher Education,0.5032,1373.0,0.0,0.0394,0.0,0.0072,0.0018,0.1145,0.0358,0.0,0.0268,0.0,0.0,0.0179,0.0,0.0,0.0268,0.0,0.0,0.1055,0.0197,0.0,0.0447,0.0,0.0089,0.0,0.0304,0.0,0.1413,0.0018,0.0,0.195,0.0,0.0,0.0,0.0,0.068,0.0,0.0894,0.025,2363.0,0.2133,0.7616,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6099,22141,2302.0,1381.0,9.0,690.0,670.0,32.0,34.0,28.0
Conway School of Landscape Design,New England Commission on Higher Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,18.0,,,,,,
Curry College,New England Commission on Higher Education,0.8752,,0.0,0.0,0.0,0.0,0.0618,0.0,0.0127,0.0,0.0236,0.0,0.0,0.0,0.0382,0.0,0.0036,0.0,0.0,0.0218,0.0,0.0,0.0036,0.0018,0.0,0.0,0.0,0.0,0.0836,0.1309,0.0,0.0182,0.0,0.0,0.0,0.0,0.0055,0.46,0.1345,0.0,1804.0,0.2766,0.5207,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6941,18320,2050.0,219.0,12.0,,,,,
Lincoln Technical Institute-Somerville,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,399.0,0.6723,,0.5942,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7677,9000,775.0,,28.0,,,,,
Dean College,New England Commission on Higher Education,0.7595,,0.0,0.0,0.0,0.0,0.0732,0.0,0.0,0.0,0.0446,0.0,0.0,0.0,0.0,0.0,0.0096,0.035,0.0,0.0096,0.0,0.0,0.0,0.2293,0.0,0.0,0.0,0.0,0.0732,0.0924,0.0,0.0223,0.0,0.0,0.0,0.0,0.2102,0.0191,0.172,0.0096,1180.0,0.3217,0.4472,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7189,12000,1206.0,,16.0,,,,,
Diman Regional Technical Institute,Council on Occupational Education,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,0.65,,0.875,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.8333,5745,60.0,,5.0,,,,,
National Aviation Academy of New England,Accrediting Commission of Career Schools and Colleges,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.509,,0.7288,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.741,14750,332.0,,15.0,,,,,
Eastern Nazarene College,New England Commission on Higher Education,0.6192,1035.0,0.0,0.0163,0.0,0.0,0.0163,0.0,0.0407,0.0,0.0569,0.0244,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.0813,0.0081,0.0,0.0081,0.0732,0.0244,0.0325,0.0163,0.0,0.0813,0.0569,0.0407,0.0,0.0,0.0,0.0,0.0,0.0325,0.0,0.3415,0.0407,408.0,0.3659,0.494,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.5752,19500,492.0,126.0,9.0,525.0,510.0,,,
Emerson College,New England Commission on Higher Education,0.4275,1373.0,0.0,0.0,0.0,0.0,0.1989,0.0,0.0,0.0,0.0116,0.0,0.0,0.0,0.0,0.0,0.1312,0.0,0.0,0.0,0.0,0.0,0.0201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5111,0.0106,0.1164,0.0,4147.0,0.1511,0.7716,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.4688,19000,4117.0,1736.0,15.0,700.0,660.0,31.0,34.0,28.0
